date,product,min_price,max_price,avg_price,unit,market
2025-01-01,Greyfurt,25.0,50.0,37.5,Kg,antalya
2025-01-01,Lime Limon,120.0,260.0,190.0,Kg,antalya
2025-01-01,Limon,40.0,75.0,57.5,Kg,antalya
2025-01-01,Portakal (Sıkmalık),10.0,25.0,17.5,Kg,antalya
2025-01-01,Portakal (Valencia Pak),15.0,30.0,22.5,Kg,antalya
2025-01-02,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-02,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-02,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-02,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-03,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-03,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-03,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-03,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-04,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-04,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-04,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-04,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-06,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-06,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-06,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-06,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-07,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-07,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-07,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-07,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-08,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-08,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-08,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-08,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-09,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-09,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-09,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-09,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-10,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-10,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-10,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-10,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-11,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-11,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-11,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-11,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-13,Greyfurt,18.0,27.0,22.5,Kg,antalya
2025-01-13,Limon,12.0,20.0,16.0,Kg,antalya
2025-01-13,Portakal (Sıkmalık),18.0,21.0,19.5,Kg,antalya
2025-01-13,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-14,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-14,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-14,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-14,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-15,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-15,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-15,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-15,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-16,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-16,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-16,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-16,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-17,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-17,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-17,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-17,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-18,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-18,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-18,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-18,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-20,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-20,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-20,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-20,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-21,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-21,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-21,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-21,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-22,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-22,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-22,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-22,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-23,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-23,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-23,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-23,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-24,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-24,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-24,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-24,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-25,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-25,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-25,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-25,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-27,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-27,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-27,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-27,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-28,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-28,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-28,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-28,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-29,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-29,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-29,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-29,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-30,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-30,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-30,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-30,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-01-31,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-01-31,Limon,12.0,25.0,18.5,Kg,antalya
2025-01-31,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-01-31,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-01,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-01,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-01,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-01,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-03,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-03,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-03,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-03,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-04,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-04,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-04,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-04,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-05,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-05,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-05,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-05,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-06,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-06,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-06,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-06,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-07,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-07,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-07,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-07,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-08,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-08,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-08,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-08,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-10,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-10,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-10,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-10,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-11,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-11,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-11,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-11,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-12,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-12,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-12,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-12,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-13,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-13,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-13,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-13,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-14,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-14,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-14,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-14,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-15,Greyfurt,20.0,28.0,24.0,Kg,antalya
2025-02-15,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-15,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-15,Portakal (Valencia Pak),20.0,30.0,25.0,Kg,antalya
2025-02-17,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-17,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-17,Portakal (Sıkmalık),15.0,20.0,17.5,Kg,antalya
2025-02-17,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-18,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-18,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-18,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-18,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-19,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-19,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-19,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-19,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-20,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-20,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-20,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-20,Portakal (Valencia Pak),20.0,32.0,26.0,Kg,antalya
2025-02-21,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-21,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-21,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-21,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-22,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-22,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-22,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-22,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-24,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-24,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-24,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-24,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-25,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-25,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-25,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-25,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-26,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-26,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-26,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-26,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-27,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-27,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-27,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-27,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-02-28,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-02-28,Limon,12.0,25.0,18.5,Kg,antalya
2025-02-28,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-02-28,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-01,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-01,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-01,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-01,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-03,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-03,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-03,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-03,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-04,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-04,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-04,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-04,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-05,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-05,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-05,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-05,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-06,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-06,Limon,12.0,25.0,18.5,Kg,antalya
2025-03-06,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-06,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-07,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-07,Limon,20.0,30.0,25.0,Kg,antalya
2025-03-07,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-07,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-08,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-08,Limon,20.0,30.0,25.0,Kg,antalya
2025-03-08,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-08,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-10,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-10,Limon,20.0,30.0,25.0,Kg,antalya
2025-03-10,Portakal (Sıkmalık),15.0,26.0,20.5,Kg,antalya
2025-03-10,Portakal (Valencia Pak),20.0,35.0,27.5,Kg,antalya
2025-03-11,Greyfurt,20.0,26.0,23.0,Kg,antalya
2025-03-11,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-11,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-11,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-12,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-12,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-12,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-12,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-13,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-13,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-13,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-13,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-14,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-14,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-14,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-14,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-15,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-15,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-15,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-15,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-17,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-17,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-17,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-17,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-18,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-18,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-18,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-18,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-19,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-19,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-19,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-19,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-20,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-20,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-20,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-20,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-21,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-21,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-21,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-21,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-22,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-22,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-22,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-22,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-24,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-24,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-24,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-24,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-25,Greyfurt,20.0,30.0,25.0,Kg,antalya
2025-03-25,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-25,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-25,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-26,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-26,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-26,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-26,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-27,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-27,Limon,20.0,40.0,30.0,Kg,antalya
2025-03-27,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-27,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-28,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-28,Limon,15.0,30.0,22.5,Kg,antalya
2025-03-28,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-28,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-29,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-03-29,Limon,15.0,40.0,27.5,Kg,antalya
2025-03-29,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-03-29,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-03-31,Greyfurt,25.0,50.0,37.5,Kg,antalya
2025-03-31,Lime Limon,120.0,260.0,190.0,Kg,antalya
2025-03-31,Limon,40.0,75.0,57.5,Kg,antalya
2025-03-31,Portakal (Sıkmalık),10.0,25.0,17.5,Kg,antalya
2025-03-31,Portakal (Valencia Pak),15.0,30.0,22.5,Kg,antalya
2025-04-01,Greyfurt,25.0,50.0,37.5,Kg,antalya
2025-04-01,Lime Limon,120.0,260.0,190.0,Kg,antalya
2025-04-01,Limon,40.0,75.0,57.5,Kg,antalya
2025-04-01,Portakal (Sıkmalık),10.0,25.0,17.5,Kg,antalya
2025-04-01,Portakal (Valencia Pak),15.0,30.0,22.5,Kg,antalya
2025-04-02,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-02,Limon,15.0,40.0,27.5,Kg,antalya
2025-04-02,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-02,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-03,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-03,Limon,15.0,40.0,27.5,Kg,antalya
2025-04-03,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-03,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-04,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-04,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-04,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-04,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-05,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-05,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-05,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-05,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-07,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-07,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-07,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-07,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-08,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-08,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-08,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-08,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-09,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-09,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-09,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-09,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-10,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-10,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-10,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-10,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-11,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-11,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-11,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-11,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-12,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-12,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-12,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-12,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-14,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-14,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-14,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-14,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-15,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-15,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-15,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-15,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-16,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-16,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-16,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
